Date,Emotion Detected
11/20/23,disappointment
11/20/23,pride
11/20/23,confusion
11/20/23,annoyance
11/20/23,neutral
11/20/23,embarrassment
11/20/23,confusion
11/20/23,amusement
11/20/23,sadness
11/20/23,neutral
11/20/23,disappointment
11/20/23,annoyance
11/20/23,disapproval
11/20/23,curiosity
11/25/23,confusion
11/25/23,anger
11/25/23,annoyance
11/25/23,curiosity
11/25/23,anger
11/25/23,remorse
11/25/23,sadness
11/25/23,nervousness
11/25/23,neutral
11/25/23,disappointment
11/25/23,confusion
11/25/23,grief
11/25/23,disappointment
11/30/23,confusion
11/30/23,anger
11/30/23,annoyance
11/30/23,joy
11/30/23,curiosity
11/30/23,realization
11/30/23,neutral
11/30/23,curiosity
11/30/23,curiosity
11/30/23,curiosity
12/5/23,fear
12/5/23,annoyance
12/5/23,neutral
12/5/23,amusement
12/5/23,sadness
12/5/23,realization
12/5/23,amusement
12/5/23,nervousness
12/5/23,nervousness
12/5/23,realization
12/5/23,nervousness
12/5/23,nervousness
12/9/23,sadness
12/9/23,realization
12/9/23,disgust
12/9/23,disapproval
12/9/23,neutral
12/9/23,excitement
12/9/23,sadness
12/9/23,remorse
12/9/23,disapproval
12/9/23,curiosity